n_params,loss,mechanism_type,rate_equation,retcode,error,eq_hash,fit_inherited,K_A_Areg,K_A_P_E,K_A_S_E,K_P_E,K_S_E,L,k_A_ES_to_EP,k_ES_to_EP,koff_P_E,koff_S_E,kon_P_E,kon_S_E,cv_score,mean_log_loss_diff,se_paired,permutation_p,cv_fold_G1,cv_fold_G2
3,3.170063977553493,"EnzymeMechanism{(((((:Product, :P), ((:C, 1),)), ((:Substrate, :S), ((:C, 1),))), (), (2,)), (((((), :E, ((), ())), (((:Product, :P),), :E, ((), ())), (:Product, :P), true),), ((((), :E, ((), ())), (((:Substrate, :S),), :E, ((), ())), (:Substrate, :S), true),), (((((:Substrate, :S),), :E, ((), ())), (((:Product, :P),), :E, ((), ())), nothing, false),)))}","(; K_P_E, K_S_E, k_ES_to_EP, Keq, E_total) = params
(; S, P) = concs
# Haldane constraints:
k_EP_to_ES = (1 / Keq) * K_P_E * (1 / K_S_E) * k_ES_to_EP
v = E_total * (k_ES_to_EP * S / K_S_E - k_EP_to_ES * P / K_P_E) / (1 + P / K_P_E + S / K_S_E)",Success,,fa90c6ed8d638310,false,,,,0.9999998127518593,0.999998855285112,,,0.9999999999999999,,,,,1.153751769879061,30.78726484425681,0.9440115871117046,0.25,3.1700639775534896,3.1700639775534865
4,3.1700639775534776,"AllostericEnzymeMechanism{EnzymeMechanism{(((((:Product, :P), ((:C, 1),)), ((:Substrate, :S), ((:C, 1),))), (), (2,)), (((((), :E, ((), ())), (((:Product, :P),), :E, ((), ())), (:Product, :P), true),), ((((), :E, ((), ())), (((:Substrate, :S),), :E, ((), ())), (:Substrate, :S), true),), (((((:Substrate, :S),), :E, ((), ())), (((:Product, :P),), :E, ((), ())), nothing, false),)))}, (2, (:EqualAI, :NonequalAI, :EqualAI)), ()}","(; K_P_E, K_A_S_E, k_ES_to_EP, L, Keq, E_total) = params
(; S, P) = concs
# Wegscheider constraints:
K_I_S_E = K_A_S_E
# Haldane constraints:
k_EP_to_ES = (1 / Keq) * (1 / K_A_S_E) * K_P_E * k_ES_to_EP
v = E_total * ((k_ES_to_EP * S / K_A_S_E - k_EP_to_ES * P / K_P_E) * (1 + S / K_A_S_E + P / K_P_E) + L * (k_ES_to_EP * S / K_I_S_E - k_EP_to_ES * P / K_P_E) * (1 + S / K_I_S_E + P / K_P_E)) / ((1 + S / K_A_S_E + P / K_P_E) ^ 2 + L * (1 + S / K_I_S_E + P / K_P_E) ^ 2)",Success,,acbbb4fdaf0e8a73,false,,,0.9999998267089317,1.000000249145891,,1.4495475961757676,,1.0000000000000002,,,,,1.153751769879078,30.78726484425681,0.9440115871117046,0.25,3.1700639775536037,3.1700639775534807
4,3.1700639775534802,"EnzymeMechanism{(((((:Product, :P), ((:C, 1),)), ((:Substrate, :S), ((:C, 1),))), (), (2,)), (((((), :E, ((), ())), (((:Product, :P),), :E, ((), ())), (:Product, :P), true),), ((((), :E, ((), ())), (((:Substrate, :S),), :E, ((), ())), (:Substrate, :S), false),), (((((:Substrate, :S),), :E, ((), ())), (((:Product, :P),), :E, ((), ())), nothing, false),)))}","(; K_P_E, k_ES_to_EP, koff_S_E, kon_S_E, Keq, E_total) = params
(; S, P) = concs
# Haldane constraints:
k_EP_to_ES = (1 / Keq) * K_P_E * k_ES_to_EP * (1 / koff_S_E) * kon_S_E
v = E_total * (k_ES_to_EP * kon_S_E * S - k_EP_to_ES * koff_S_E * P / K_P_E) / (k_ES_to_EP + koff_S_E + k_EP_to_ES * P / K_P_E + k_ES_to_EP * P / K_P_E + koff_S_E * P / K_P_E + kon_S_E * S)",Success,,a965bba0bcbd6bd6,false,,,,1.0007485377363177,,,,1.0,,133.57172578226118,,134.57171022012182,1.1537517698790705,30.78726484425681,0.9440115871117046,0.25,3.1700639775535575,3.1700639775534794
4,3.170063977553481,"AllostericEnzymeMechanism{EnzymeMechanism{(((((:Product, :P), ((:C, 1),)), ((:Substrate, :S), ((:C, 1),))), (), (2,)), (((((), :E, ((), ())), (((:Product, :P),), :E, ((), ())), (:Product, :P), true),), ((((), :E, ((), ())), (((:Substrate, :S),), :E, ((), ())), (:Substrate, :S), true),), (((((:Substrate, :S),), :E, ((), ())), (((:Product, :P),), :E, ((), ())), nothing, false),)))}, (2, (:NonequalAI, :EqualAI, :EqualAI)), ()}","(; K_A_P_E, K_S_E, k_ES_to_EP, L, Keq, E_total) = params
(; S, P) = concs
# Wegscheider constraints:
K_I_P_E = K_A_P_E
# Haldane constraints:
k_EP_to_ES = (1 / Keq) * K_A_P_E * (1 / K_S_E) * k_ES_to_EP
v = E_total * ((k_ES_to_EP * S / K_S_E - k_EP_to_ES * P / K_A_P_E) * (1 + P / K_A_P_E + S / K_S_E) + L * (k_ES_to_EP * S / K_S_E - k_EP_to_ES * P / K_I_P_E) * (1 + P / K_I_P_E + S / K_S_E)) / ((1 + P / K_A_P_E + S / K_S_E) ^ 2 + L * (1 + P / K_I_P_E + S / K_S_E) ^ 2)",Success,,ceeb8eff200c8995,false,,1.0000007986176525,,,1.0000000456302616,0.37090683861819257,,1.0,,,,,1.1537517698790594,30.78726484425681,0.9440115871117046,0.25,3.170063977553483,3.170063977553484
4,3.1700639775534847,"EnzymeMechanism{(((((:Product, :P), ((:C, 1),)), ((:Substrate, :S), ((:C, 1),))), (), (2,)), (((((), :E, ((), ())), (((:Product, :P),), :E, ((), ())), (:Product, :P), false),), ((((), :E, ((), ())), (((:Substrate, :S),), :E, ((), ())), (:Substrate, :S), true),), (((((:Substrate, :S),), :E, ((), ())), (((:Product, :P),), :E, ((), ())), nothing, false),)))}","(; K_S_E, k_ES_to_EP, koff_P_E, kon_P_E, Keq, E_total) = params
(; S, P) = concs
# Haldane constraints:
k_EP_to_ES = (1 / Keq) * (1 / K_S_E) * k_ES_to_EP * koff_P_E * (1 / kon_P_E)
v = E_total * (k_ES_to_EP * koff_P_E * S / K_S_E - k_EP_to_ES * kon_P_E * P) / (k_EP_to_ES + koff_P_E + k_EP_to_ES * S / K_S_E + k_ES_to_EP * S / K_S_E + koff_P_E * S / K_S_E + kon_P_E * P)",Success,,13ff345ca1ef3daf,false,,,,,1.9735036584838475,,,2.070854452133045,2.0272169882763977,,2.127219844185392,,1.1537517698790623,30.78726484425681,0.9440115871117046,0.25,3.170063977553506,3.170063977553479
4,3.170063977553496,"AllostericEnzymeMechanism{EnzymeMechanism{(((((:Product, :P), ((:C, 1),)), ((:Substrate, :S), ((:C, 1),))), (), (2,)), (((((), :E, ((), ())), (((:Product, :P),), :E, ((), ())), (:Product, :P), true),), ((((), :E, ((), ())), (((:Substrate, :S),), :E, ((), ())), (:Substrate, :S), true),), (((((:Substrate, :S),), :E, ((), ())), (((:Product, :P),), :E, ((), ())), nothing, false),)))}, (2, (:EqualAI, :OnlyA, :EqualAI)), ()}","(; K_P_E, K_A_S_E, k_ES_to_EP, L, Keq, E_total) = params
(; S, P) = concs
# Haldane constraints:
k_EP_to_ES = (1 / Keq) * (1 / K_A_S_E) * K_P_E * k_ES_to_EP
v = E_total * ((k_ES_to_EP * S / K_A_S_E - k_EP_to_ES * P / K_P_E) * (1 + S / K_A_S_E + P / K_P_E)) / ((1 + S / K_A_S_E + P / K_P_E) ^ 2 + L * (k_ES_to_EP + k_EP_to_ES * P / K_P_E + k_ES_to_EP * P / K_P_E) ^ 2)",Success,,075de4e541279904,false,,,0.9999991131325601,1.0000014669396236,,1.0201981725456734e6,,1.0,,,,,1.291931053677688,30.78726484425681,0.9440115871117046,0.25,3.170232817865724,4.178937710695726
5,1.5989721622763616e-14,"AllostericEnzymeMechanism{EnzymeMechanism{(((((:Product, :P), ((:C, 1),)), ((:Substrate, :S), ((:C, 1),))), (), (2,)), (((((), :E, ((), ())), (((:Product, :P),), :E, ((), ())), (:Product, :P), true),), ((((), :E, ((), ())), (((:Substrate, :S),), :E, ((), ())), (:Substrate, :S), true),), (((((:Substrate, :S),), :E, ((), ())), (((:Product, :P),), :E, ((), ())), nothing, false),)))}, (2, (:EqualAI, :NonequalAI, :OnlyA)), (((:A,), 2, (:OnlyA,)),)}","(; K_P_E, K_A_S_E, k_A_ES_to_EP, K_A_Areg, L, Keq, E_total) = params
(; S, P, A) = concs
# Wegscheider constraints:
K_I_S_E = K_A_S_E
# Haldane constraints:
k_A_EP_to_ES = (1 / Keq) * (1 / K_A_S_E) * K_P_E * k_A_ES_to_EP
v = E_total * ((k_A_ES_to_EP * S / K_A_S_E - k_A_EP_to_ES * P / K_P_E) * (1 + S / K_A_S_E + P / K_P_E) * (1 + A / K_A_Areg) ^ 2) / ((1 + S / K_A_S_E + P / K_P_E) ^ 2 * (1 + A / K_A_Areg) ^ 2 + L * (1 + S / K_I_S_E + P / K_P_E) ^ 2 * 1 ^ 2)",Success,,1876154c72b2e042,false,0.9999999887856651,,1.0000003990355524,1.000001536950493,,99.99997799373969,100.99997575087318,,,,,,-28.87850220169048,0.0,0.0,0.0,3.432134047219767e-13,2.403739802431205e-13
5,2.27446192499105e-13,"AllostericEnzymeMechanism{EnzymeMechanism{(((((:Product, :P), ((:C, 1),)), ((:Substrate, :S), ((:C, 1),))), (), (2,)), (((((), :E, ((), ())), (((:Product, :P),), :E, ((), ())), (:Product, :P), true),), ((((), :E, ((), ())), (((:Substrate, :S),), :E, ((), ())), (:Substrate, :S), true),), (((((:Substrate, :S),), :E, ((), ())), (((:Product, :P),), :E, ((), ())), nothing, false),)))}, (2, (:EqualAI, :EqualAI, :OnlyA)), (((:A,), 2, (:OnlyA,)),)}","(; K_P_E, K_S_E, k_A_ES_to_EP, K_A_Areg, L, Keq, E_total) = params
(; S, P, A) = concs
# Haldane constraints:
k_A_EP_to_ES = (1 / Keq) * K_P_E * (1 / K_S_E) * k_A_ES_to_EP
v = E_total * ((k_A_ES_to_EP * S / K_S_E - k_A_EP_to_ES * P / K_P_E) * (1 + P / K_P_E + S / K_S_E) * (1 + A / K_A_Areg) ^ 2) / ((1 + P / K_P_E + S / K_S_E) ^ 2 * (1 + A / K_A_Areg) ^ 2 + L * (1 + P / K_P_E + S / K_S_E) ^ 2 * 1 ^ 2)",Success,,618e7e386041c038,false,1.0000007076228135,,,1.000004946877043,1.0000022826723858,99.99993725000424,100.99993725000425,,,,,,-29.633513074377753,0.0,0.0,0.0,5.252302965035841e-14,3.4698269474265914e-13
5,3.414106811794773e-13,"AllostericEnzymeMechanism{EnzymeMechanism{(((((:Product, :P), ((:C, 1),)), ((:Substrate, :S), ((:C, 1),))), (), (2,)), (((((), :E, ((), ())), (((:Product, :P),), :E, ((), ())), (:Product, :P), true),), ((((), :E, ((), ())), (((:Substrate, :S),), :E, ((), ())), (:Substrate, :S), true),), (((((:Substrate, :S),), :E, ((), ())), (((:Product, :P),), :E, ((), ())), nothing, false),)))}, (2, (:NonequalAI, :EqualAI, :OnlyA)), (((:A,), 2, (:OnlyA,)),)}","(; K_A_P_E, K_S_E, k_A_ES_to_EP, K_A_Areg, L, Keq, E_total) = params
(; S, P, A) = concs
# Wegscheider constraints:
K_I_P_E = K_A_P_E
# Haldane constraints:
k_A_EP_to_ES = (1 / Keq) * K_A_P_E * (1 / K_S_E) * k_A_ES_to_EP
v = E_total * ((k_A_ES_to_EP * S / K_S_E - k_A_EP_to_ES * P / K_A_P_E) * (1 + P / K_A_P_E + S / K_S_E) * (1 + A / K_A_Areg) ^ 2) / ((1 + P / K_A_P_E + S / K_S_E) ^ 2 * (1 + A / K_A_Areg) ^ 2 + L * (1 + P / K_I_P_E + S / K_S_E) ^ 2 * 1 ^ 2)",Success,,833bc47f1051a743,false,1.0000009582899152,0.999996834609268,,,1.0000004646551421,99.99989540222364,100.99989540222366,,,,,,-29.281783931399353,0.0,0.0,0.0,3.096239554489588e-13,1.1894086214457158e-13
5,0.006467695099050538,"AllostericEnzymeMechanism{EnzymeMechanism{(((((:Product, :P), ((:C, 1),)), ((:Substrate, :S), ((:C, 1),))), (), (2,)), (((((), :E, ((), ())), (((:Product, :P),), :E, ((), ())), (:Product, :P), true),), ((((), :E, ((), ())), (((:Substrate, :S),), :E, ((), ())), (:Substrate, :S), true),), (((((:Substrate, :S),), :E, ((), ())), (((:Product, :P),), :E, ((), ())), nothing, false),)))}, (2, (:OnlyA, :NonequalAI, :EqualAI)), (((:A,), 2, (:OnlyA,)),)}","(; K_A_P_E, K_A_S_E, k_ES_to_EP, K_A_Areg, L, Keq, E_total) = params
(; S, P, A) = concs
# Wegscheider constraints:
K_I_S_E = K_A_S_E
# Haldane constraints:
k_EP_to_ES = (1 / Keq) * K_A_P_E * (1 / K_A_S_E) * k_ES_to_EP
v = E_total * ((k_ES_to_EP * S / K_A_S_E - k_EP_to_ES * P / K_A_P_E) * (1 + P / K_A_P_E + S / K_A_S_E) * (1 + A / K_A_Areg) ^ 2) / ((1 + P / K_A_P_E + S / K_A_S_E) ^ 2 * (1 + A / K_A_Areg) ^ 2 + L * (k_EP_to_ES * S / K_I_S_E + k_ES_to_EP * S / K_I_S_E + k_EP_to_ES) ^ 2 * 1 ^ 2)",Success,,611a1d4f6b441071,false,1.000001549545473,1.5496138658759005e6,1.2841147531753911,,,6289.643211254737,,101.00056015837195,,,,,0.004132554253723354,0.0,0.0,0.0,1.0093828653715127,0.9989265653340118
